Tm;Games;Points Scored;Yards Gained;# Plays;Yards per Play;Turnovers Lost;Fumbles Lost;1st Down
Atlanta Falcons;16;540;6653;995;6.7;11;4;379
New Orleans Saints;16;469;6816;1105;6.2;24;9;395
New England Patriots;16;441;6180;1056;5.9;11;9;351
Green Bay Packers;16;432;5900;1029;5.7;17;9;349
Dallas Cowboys;16;421;6027;1010;6;15;9;358
Arizona Cardinals;16;418;5868;1086;5.4;28;11;368
Oakland Raiders;16;416;5973;1048;5.7;14;7;333
Indianapolis Colts;16;411;5830;1037;5.6;22;7;351
Los Angeles Chargers;16;410;5708;1014;5.6;35;14;340
Pittsburgh Steelers;16;399;5962;1026;5.8;18;3;336
Buffalo Bills;16;399;5666;1012;5.6;12;5;328
Washington Redskins;16;396;6454;1009;6.4;21;9;345
Kansas City Chiefs;16;389;5488;990;5.5;17;9;305
Tennessee Titans;16;381;5728;1008;5.7;18;7;322
Carolina Panthers;16;369;5499;1052;5.2;29;10;318
Philadelphia Eagles;16;367;5398;1080;5;20;6;333
Miami Dolphins;16;363;5324;913;5.8;23;8;278
Seattle Seahawks;16;354;5715;1012;5.6;18;6;313
Tampa Bay Buccaneers;16;354;5542;1066;5.2;27;9;340
Detroit Lions;16;346;5421;981;5.5;15;5;329
Baltimore Ravens;16;343;5563;1079;5.2;23;7;316
Denver Broncos;16;333;5169;1020;5.1;25;14;290
Minnesota Vikings;16;327;5041;1006;5;16;11;303
Cincinnati Bengals;16;325;5711;1050;5.4;17;9;341
Jacksonville Jaguars;16;318;5359;1052;5.1;29;13;321
New York Giants;16;310;5291;1018;5.2;27;11;289
San Francisco 49ers;16;309;4930;996;4.9;25;15;287
Chicago Bears;16;279;5704;967;5.9;31;12;324
Houston Texans;16;279;5035;1071;4.7;24;8;305
New York Jets;16;275;5268;1003;5.3;34;9;291
Cleveland Browns;16;264;4976;983;5.1;25;11;296
Los Angeles Rams;16;224;4203;960;4.4;29;9;245
